firms,counts
annual_results/India/Tata Motors/2023/semantic.json,1
annual_results/India/Tata Motors/2019/semantic.json,2
annual_results/India/Tata Motors/2021/semantic.json,7
annual_results/India/Tata Motors/2020/semantic.json,2
annual_results/India/UltraTech Cement/2022/semantic.json,2
annual_results/India/UltraTech Cement/2023/semantic.json,2
annual_results/India/UltraTech Cement/2021/semantic.json,1
annual_results/India/UltraTech Cement/2020/semantic.json,3
annual_results/India/UltraTech Cement/2018/semantic.json,1
annual_results/India/Maruti Suzuki India/2022/semantic.json,5
annual_results/India/Maruti Suzuki India/2023/semantic.json,6
annual_results/India/Maruti Suzuki India/2019/semantic.json,4
annual_results/India/Maruti Suzuki India/2021/semantic.json,3
annual_results/India/Maruti Suzuki India/2020/semantic.json,4
annual_results/India/Maruti Suzuki India/2018/semantic.json,1
annual_results/India/Oil&Natural Gas/2022/semantic.json,2
annual_results/India/Oil&Natural Gas/2023/semantic.json,3
annual_results/India/Oil&Natural Gas/2021/semantic.json,2
annual_results/India/Oil&Natural Gas/2018/semantic.json,1
annual_results/India/HDFC Bank/2022/semantic.json,7
annual_results/India/HDFC Bank/2023/semantic.json,8
annual_results/India/HDFC Bank/2015/semantic.json,1
annual_results/India/HDFC Bank/2017/semantic.json,2
annual_results/India/HDFC Bank/2019/semantic.json,7
annual_results/India/HDFC Bank/2021/semantic.json,1
annual_results/India/HDFC Bank/2020/semantic.json,5
annual_results/India/HDFC Bank/2018/semantic.json,4
annual_results/India/HDFC Bank/2016/semantic.json,2
annual_results/India/Larsen & Toubro/2022/semantic.json,8
annual_results/India/Larsen & Toubro/2023/semantic.json,4
annual_results/India/Larsen & Toubro/2017/semantic.json,5
annual_results/India/Larsen & Toubro/2019/semantic.json,25
annual_results/India/Larsen & Toubro/2021/semantic.json,3
annual_results/India/Larsen & Toubro/2020/semantic.json,19
annual_results/India/Larsen & Toubro/2018/semantic.json,10
annual_results/India/Larsen & Toubro/2016/semantic.json,3
annual_results/China/Pingan Insurance/2022/semantic.json,7
annual_results/China/Pingan Insurance/2023/semantic.json,3
annual_results/China/Pingan Insurance/2017/semantic.json,15
annual_results/China/Pingan Insurance/2019/semantic.json,15
annual_results/China/Pingan Insurance/2021/semantic.json,22
annual_results/China/Pingan Insurance/2020/semantic.json,23
annual_results/China/Pingan Insurance/2018/semantic.json,22
annual_results/China/Kweichow Moutai/2023/semantic.json,1
annual_results/China/ICBC/2022/semantic.json,3
annual_results/China/ICBC/2023/semantic.json,5
annual_results/China/ICBC/2017/semantic.json,3
annual_results/China/ICBC/2019/semantic.json,3
annual_results/China/ICBC/2021/semantic.json,3
annual_results/China/ICBC/2020/semantic.json,3
annual_results/China/ICBC/2018/semantic.json,1
annual_results/China/ICBC/2016/semantic.json,2
annual_results/China/China Construction Bank/2022/semantic.json,5
annual_results/China/China Construction Bank/2023/semantic.json,8
annual_results/China/China Construction Bank/2017/semantic.json,4
annual_results/China/China Construction Bank/2019/semantic.json,5
annual_results/China/China Construction Bank/2021/semantic.json,4
annual_results/China/China Construction Bank/2020/semantic.json,6
annual_results/China/China Construction Bank/2018/semantic.json,7
annual_results/China/Agricultural Bank Of China/2022/semantic.json,1
annual_results/China/Agricultural Bank Of China/2023/semantic.json,2
annual_results/China/Agricultural Bank Of China/2017/semantic.json,3
annual_results/China/Agricultural Bank Of China/2019/semantic.json,2
annual_results/China/Agricultural Bank Of China/2021/semantic.json,1
annual_results/China/Agricultural Bank Of China/2020/semantic.json,3
annual_results/China/Agricultural Bank Of China/2018/semantic.json,2
annual_results/China/BYD/2022/semantic.json,4
annual_results/China/BYD/2023/semantic.json,4
annual_results/China/BYD/2021/semantic.json,2
annual_results/China/BYD/2020/semantic.json,2
annual_results/China/Alibaba/2022/semantic.json,10
annual_results/China/Alibaba/2023/semantic.json,23
annual_results/China/Alibaba/2021/semantic.json,15
annual_results/China/Alibaba/2020/semantic.json,15
annual_results/China/CM bank/2022/semantic.json,1
annual_results/China/CM bank/2023/semantic.json,8
annual_results/China/CM bank/2017/semantic.json,10
annual_results/China/CM bank/2019/semantic.json,4
annual_results/China/CM bank/2021/semantic.json,6
annual_results/China/CM bank/2020/semantic.json,6
annual_results/China/CM bank/2018/semantic.json,4
annual_results/China/CM bank/2016/semantic.json,7
annual_results/China/CATL/2023/semantic.json,1
annual_results/China/CATL/2021/semantic.json,1
annual_results/China/China Mobile/2022/semantic.json,8
annual_results/China/China Mobile/2023/semantic.json,9
annual_results/China/China Mobile/2017/semantic.json,2
annual_results/China/China Mobile/2019/semantic.json,4
annual_results/China/China Mobile/2021/semantic.json,6
annual_results/China/China Mobile/2020/semantic.json,3
annual_results/China/China Mobile/2018/semantic.json,5
annual_results/China/CNOOC/2018/semantic.json,1
annual_results/China/Tencent/2022/semantic.json,4
annual_results/China/Tencent/2023/semantic.json,3
annual_results/China/Tencent/2017/semantic.json,6
annual_results/China/Tencent/2019/semantic.json,1
annual_results/China/Tencent/2021/semantic.json,2
annual_results/China/Tencent/2020/semantic.json,7
annual_results/China/Tencent/2018/semantic.json,0
