,Company,Year,Country,Revenue,Sector,Goals
19,NVIDIA,2014,USA,2638.0,Information Tech,"{'0': 3, '1': 0, '2': 0, '3': 3, '4': 1, '5': 0, '6': 0, '7': 1, '8': 1, '9': 13, '10': 0, '11': 1, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
20,NVIDIA,2022,USA,2638.0,Information Tech,"{'0': 38, '1': 0, '2': 0, '3': 7, '4': 5, '5': 0, '6': 0, '7': 4, '8': 11, '9': 74, '10': 0, '11': 14, '12': 5, '13': 4, '14': 0, '15': 0, '16': 10, '17': 6}"
21,NVIDIA,2023,USA,2638.0,Information Tech,"{'0': 50, '1': 0, '2': 0, '3': 17, '4': 5, '5': 0, '6': 0, '7': 3, '8': 25, '9': 118, '10': 0, '11': 15, '12': 0, '13': 8, '14': 0, '15': 0, '16': 11, '17': 8}"
22,NVIDIA,2015,USA,2638.0,Information Tech,"{'0': 5, '1': 0, '2': 0, '3': 4, '4': 2, '5': 0, '6': 0, '7': 1, '8': 3, '9': 24, '10': 0, '11': 10, '12': 0, '13': 1, '14': 0, '15': 0, '16': 0, '17': 0}"
23,NVIDIA,2017,USA,2638.0,Information Tech,"{'0': 11, '1': 0, '2': 1, '3': 5, '4': 5, '5': 0, '6': 0, '7': 1, '8': 3, '9': 53, '10': 0, '11': 16, '12': 0, '13': 0, '14': 0, '15': 0, '16': 2, '17': 2}"
24,NVIDIA,2019,USA,2638.0,Information Tech,"{'0': 15, '1': 0, '2': 1, '3': 10, '4': 3, '5': 0, '6': 0, '7': 3, '8': 4, '9': 69, '10': 0, '11': 20, '12': 3, '13': 0, '14': 0, '15': 0, '16': 1, '17': 4}"
25,NVIDIA,2021,USA,2638.0,Information Tech,"{'0': 20, '1': 0, '2': 0, '3': 3, '4': 5, '5': 0, '6': 0, '7': 3, '8': 14, '9': 62, '10': 0, '11': 18, '12': 1, '13': 9, '14': 0, '15': 0, '16': 4, '17': 3}"
26,NVIDIA,2020,USA,2638.0,Information Tech,"{'0': 19, '1': 0, '2': 3, '3': 13, '4': 5, '5': 0, '6': 0, '7': 0, '8': 8, '9': 75, '10': 0, '11': 20, '12': 5, '13': 1, '14': 0, '15': 0, '16': 3, '17': 4}"
27,NVIDIA,2018,USA,2638.0,Information Tech,"{'0': 12, '1': 0, '2': 2, '3': 7, '4': 1, '5': 0, '6': 0, '7': 0, '8': 6, '9': 68, '10': 0, '11': 19, '12': 2, '13': 0, '14': 0, '15': 0, '16': 2, '17': 3}"
28,NVIDIA,2016,USA,2638.0,Information Tech,"{'0': 12, '1': 0, '2': 0, '3': 9, '4': 1, '5': 0, '6': 0, '7': 1, '8': 6, '9': 42, '10': 1, '11': 12, '12': 0, '13': 0, '14': 1, '15': 0, '16': 0, '17': 2}"
