,Company,Year,Country,Revenue,Sector
107,Mastercard,2014,USA,439.85,Financials
108,Mastercard,2022,USA,439.85,Financials
109,Mastercard,2023,USA,439.85,Financials
110,Mastercard,2015,USA,439.85,Financials
111,Mastercard,2017,USA,439.85,Financials
112,Mastercard,2019,USA,439.85,Financials
113,Mastercard,2021,USA,439.85,Financials
114,Mastercard,2020,USA,439.85,Financials
115,Mastercard,2018,USA,439.85,Financials
116,Mastercard,2016,USA,439.85,Financials
117,Eli Lilly,2014,USA,724.33,Health Care
118,Eli Lilly,2022,USA,724.33,Health Care
119,Eli Lilly,2023,USA,724.33,Health Care
120,Eli Lilly,2015,USA,724.33,Health Care
121,Eli Lilly,2017,USA,724.33,Health Care
122,Eli Lilly,2019,USA,724.33,Health Care
123,Eli Lilly,2021,USA,724.33,Health Care
124,Eli Lilly,2020,USA,724.33,Health Care
125,Eli Lilly,2018,USA,724.33,Health Care
126,Eli Lilly,2016,USA,724.33,Health Care
127,Oracle,2014,USA,390.8,Information Technology
128,Oracle,2022,USA,390.8,Information Technology
129,Oracle,2023,USA,390.8,Information Technology
130,Oracle,2015,USA,390.8,Information Technology
131,Oracle,2017,USA,390.8,Information Technology
132,Oracle,2019,USA,390.8,Information Technology
133,Oracle,2021,USA,390.8,Information Technology
134,Oracle,2020,USA,390.8,Information Technology
135,Oracle,2018,USA,390.8,Information Technology
136,Oracle,2016,USA,390.8,Information Technology
137,Microsoft,2014,USA,3036.0,Information Technology
138,Microsoft,2022,USA,3036.0,Information Technology
139,Microsoft,2023,USA,3036.0,Information Technology
140,Microsoft,2015,USA,3036.0,Information Technology
141,Microsoft,2017,USA,3036.0,Information Technology
142,Microsoft,2019,USA,3036.0,Information Technology
143,Microsoft,2021,USA,3036.0,Information Technology
144,Microsoft,2020,USA,3036.0,Information Technology
145,Microsoft,2018,USA,3036.0,Information Technology
146,Microsoft,2016,USA,3036.0,Information Technology
147,Costco,2014,USA,388.66,Consumer Staples
148,Costco,2022,USA,388.66,Consumer Staples
